[-10.4286, 3]
[-10.1429, 3]
[-9.71429, 3]
[-9.28571, 3]
[-8.85714, 3]
[-8.42857, 3]
[-8, 3]
[-7.57143, 3]
[-7.14286, 3]
[-6.71429, 3]
[-6.28571, 3]
[-5.85714, 3]
[-5.42857, 3]
[-5, 3]
[-4.71429, 3]
[-4.28571, 3]
[-3.85714, 3]
[-3.42857, 3]
[-3, 3]
[-2.57143, 3]
[-2.14286, 3]
[-1.71429, 3]
[-1.28571, 3]
[-0.857143, 3]
[-0.428571, 3]
[0, 3]
[0.428571, 3]
[0.857143, 3]
[1.28571, 3]
[1.71429, 3]
[2.14286, 3]
[2.42857, 3]
[2.71429, 3]
[2.71429, 2]
[2.85714, 2]
[3, 2]
[3, 1]
[3, 1]
[3, 0]
[3, 0]
[3, -1]
[3, -1]
[3, -1]
[3, -2]
[3, -2]
[3, -3]
[3, -3]
[3.42857, -3]
[3.85714, -3]
[4.28571, -3]
[4.71429, -3]
[5.14286, -3]
[5.57143, -3]
[5.85714, -3]
[6.28571, -3]
[6.71429, -3]
[7.14286, -3]
[7.28571, -4]
[7.71429, -4]
